1	l'eau	water (f.)	"je voudrais de l'eau"	CORE	feminine
1	la table	table	"pose-le sur la table"	CORE	
1	maintenant	now	"je le fais maintenant"	CORE	
1	avoir envie de	to feel like	"j'ai envie d'un café"	CORE	avoir, not être
1	il faut	it is necessary / one must	"il faut partir"	CORE	impersonal, no subject
1	manquer	to miss (inverted!)	"tu me manques" = I miss you	CORE	subject/object reversed vs English
1	rendre visite à	to visit (a person)	"je rends visite à ma mère"	CORE	visiter is for places
1	assister à	to attend	"j'assiste à la réunion"	CORE	false friend: not "assist"
1	prendre	to take	"je prends le train"	CORE	
1	depuis	since / for	"j'habite ici depuis 2020"	CORE	takes present tense, not past
2	du coup	so / as a result	"du coup, on annule"	CASUAL	extremely common filler
2	quand même	still / anyway	"c'est cher quand même"	CASUAL	
2	n'importe quoi	nonsense / whatever	"c'est n'importe quoi"	CASUAL	
2	ça marche	that works / ok	"ça marche, à demain"	CASUAL	
2	bof	meh	"— tu aimes ? — bof"	CASUAL	
2	avoir la flemme	to not be bothered	"j'ai la flemme"	CASUAL	
2	ça craint	that sucks	"ça craint vraiment"	CASUAL	
2	tenir au courant	to keep posted	"je te tiens au courant"	CORE	
2	franchement	honestly	"franchement, c'était nul"	CASUAL	
2	carrément	totally / absolutely	"carrément !"	CASUAL	
3	ouf	crazy (verlan of fou)	"c'était ouf"	CASUAL	verlan — syllables reversed
3	meuf	woman (verlan of femme)	"une meuf sympa"	CASUAL	verlan
3	relou	annoying (verlan of lourd)	"il est relou"	CASUAL	verlan
3	kiffer	to love / enjoy	"je kiffe ce morceau"	CASUAL	from Arabic kif
3	bosser	to work	"je dois bosser"	CASUAL	
3	un truc	a thing / whatsit	"passe-moi le truc"	CASUAL	
3	c'est chaud	that's tough / intense	"c'est chaud, ce projet"	CASUAL	
3	grave	totally (as agreement)	"— t'as raison — grave"	CASUAL	adverb used as "totally"
3	se prendre la tête	to overthink / stress	"te prends pas la tête"	CASUAL	
3	à la bourre	running late	"je suis à la bourre"	CASUAL	
